sinhala,english,transliteration,pos,example_si,example_en
නෑ නෑ ඒක මගේ වරදක් අපිට හරි හමන් කැමරොන් කෙනෙක් හිටියෙ නෑ,no no it s my fault we didn t have a proper introduction cameron,ne ne eka mage waradak apita hari haman kenek hitiye ne,,,
ඒ ප්රංශ අමතක කරන්න තරම් ලස්සන එකක් නිසා,that s because it s such a nice one forget french,e pransha amathaka karanna tharam lassana ekak nisa,,,
මහත්මයෙකු ලෙස ඔබ මගේ වචනය ඔබ මිහිරි ය,you have my word as a gentlemanyou re sweet,mahathmayeku lesa oba mage wachanaya oba mihiri ya,,,
හොඳයි නෑ එහෙනම් ඔයාට කියන්න තියෙන්නේ එච්චරයි,well no then that s all you had to say,hondayi ne ehenam oyata kiyanna thiyenne echcharayi,,,
මම හිතුවා ඔයා අන්තිමට හොඳ දේට යනවා කියලා,i figured you d get to the good stuff eventually what good stuff,mama hithuwa oya anthimata honda deta yanawa kiyala,,,
මේ මගුල අහනවද මොන මගුලක්ද,do you listen to this crap what crap,me magula ahanawada mona magulakda,,,
මොනතරම් හොඳ දේවල්ද ඇත්ත ඔබ,what good stuff the real you,monatharam honda dewalda eththa oba,,,
ඔවුන් කරන්නේ ඔවුන් කරන්නේ නැහැ,they do to they do not,owun karanne owun karanne nehe,,,
ඇය හොඳින් මම එසේ බලාපොරොත්තු වෙමි,she okay i hope so,eya hondin mama ese balaporoththu wemi,,,
පැස්ටල් ඇඳීමට ඇති මගේ බියට ඔබ කැමති සැබෑ ය,the real you like my fear of wearing pastels,pestal endeemata ethi mage biyata oba kemathi sebe ya,,,
එය වඩා මිල අධිකයි,it s moreexpensive,eya wada mila adhikayi,,,
හේයි මිහිරි කම්මුල් හායි ජෝයි,hey sweet cheeks hi joey,heyi mihiri kammul hayi joyi,,,
ඔයා කොහෙද හිටියේ නෑ තාත්තේ,where ve you been nowhere hi daddy,oya koheda hitiye ne thaththe,,,
ඔබ සම්පූර්ණයෙන්ම අසමතුලිතයි අපට දැන් යන්න පුළුවන්,you are so completely unbalanced can we go now,oba sampurnayenma apata den yanna puluwan,,,
ඔහු සම්පූර්ණ බබෙක් වගේ නමුත් ඔබ ජෝයිට වෛර කරනවා,he was like a total babebut you hate joey,ohu sampurna babek wage namuth oba joyita waira karanawa,,,
නමුත් ඔබ ජෝයිනෝට වෛර කරනවා මම එදා කළේ වෙනම කතාවකි,but you hate joeynow i do back then was a different story,namuth oba waira karanawa mama eda kale wenama kathawaki,,,
දැන් මම කරන්නේ එදා මෙන් වෙනස් කතාවකි,now i do back then was a different story as in,den mama karanne eda men wenas kathawaki,,,
ඔබේ වැරදි නැවත කිරීමට තරම් මම මෝඩකමක් නොවන බව නොදනිමි,that s noti m not stupid enough to repeat your mistakes,obe weradi newatha kireemata tharam mama modakamak nowana bawa nodanimi,,,
ඊයේ රෑ ඔයා ලස්සනට පෙනුනා ඔයා දන්නවද ඔයා එහෙමයි කියලා,you looked beautiful last night you know so did you,eeye re oya lassanata penuna oya dannawada oya ehemayi kiyala,,,
මට අවශ්ය ඔබ මාව පිහිටෙව්වා,you set me up i just wanted,mata awashya oba mawa pihitewwa,,,
ඔබේ සහෝදරිය ආලය ආරම්භ කරන තුරු ඔබ පෙම් සබඳතාවක් පවත්වන්නේ නැත,no you re not dating until your sister starts dating end of discussion what if she never starts dating,obe sahodariya alaya arambha karana thuru oba pem sabandathawak pawathwanne netha,,,
නමුත් ඇයට මගේ අදහස හරියටම දිනවීමට අවශ්ය නැත,but she doesn t want to date exactly my point,namuth eyata mage adahasa hariyatama dinaweemata awashya netha,,,
තාත්තේ මම සහ ඔයා කොහෙද යන්නේ,daddy i and where re you going,thaththe mama saha oya koheda yanne,,,
අනේ දෙයියනේ ඒක පටන් ගන්නේ සාදයක් විතරයි තාත්තේ,oh god it s starting it s just a party daddy,ane deyiyane eka patan ganne sadayak witharayi thaththe,,,
තාත්තේ විනාඩියක් නෑ,daddy no just for a minute,thaththe winadiyak ne,,,
යන්න කලින් බඩ දාගෙන යන්න තාත්තේ නෑ,wear the belly before you go daddy no,yanna kalin bada dagena yanna thaththe ne,,,
ඔයා අලුත් මිනිහා ඉතින් එයාලා මට කියනවා,you the new guy so they tell me,oya aluth miniha ithin eyala mata kiyanawa,,,
ඉතින් ඔවුන් මට කියනවා මම ඔබට සංචාරය ලබා දිය යුතුයි කියලා,so they tell me c mon i m supposed to give you the tour,ithin owun mata kiyanawa mama obata sancharaya laba diya yuthuyi kiyala,,,
ඔබේ පැරණි පාසලේ තිස් දෙකේ කී දෙනෙක් සිටියාද?,how many people were in your old school thirty two,obe perani pasale this deke kee denek sitiyada,,,
තිස් දෙකක් එළියට,thirty two get out,this dekak eliyata,,,
මෙතනින් කී දෙනෙක් යනවද කියලා එලියට යන්න,get out how many people go here,methanin kee denek yanawada kiyala eliyata yanna,,,
ඒ කෙල්ල මම ඔයාව පුච්චනවා පයින් ඔයා විනාශ වෙනවා,that girl i you burn you pine you perish,e kella mama oyawa puchchanawa payin oya winasha wenawa,,,
"ඔබ පුළුස්සා දමයි, ඇය කවුද?",you burn you pine you perish who is she,oba pulussa damayi eya kawuda,,,
bianca stratford sophomore ඒ ඇයි කියලා හිතන්නවත් එපා,bianca stratford sophomore don t even think about itwhy not,e eyi kiyala hithannawath epa,,,
ඇය කවුද bianca stratford sophomore ඒ ගැන හිතන්නවත් එපා,who is she bianca stratford sophomore don t even think about it,eya kawuda e gena hithannawath epa,,,
ඔයා ප්රංශ දන්නවා මගේ අම්මා කැනඩාවෙන්,you know french sure do my mom s from canada,oya pransha dannawa mage amma kenadawen,,,
"ඔව්, ඇගේ බියන්කාගේ සහෝදරිය වන ෂෘ සමඟ සුළු හමුවීමක් පමණි",yeah just a minor encounter with the shrew that s her bianca s sister,ow ege sahodariya wana samanga sulu hamuweemak pamani,,,
ඔබ ඔහු සමඟ පිටතට යාමට කැමති ඔහු ගැන කුමක් කිව හැකිද?,what about him you wanna go out with him,oba ohu samanga pitathata yamata kemathi ohu gena kumak kiwa hekida,,,
මම හිතුවා ඔයා ඒ මිනිස්සුන්ට වෛර කළා කියලා,i thought you hated those people hey i ve gotta have a few clients when i get to wall street,mama hithuwa oya e minissunta waira kala kiyala,,,
අංක එක ඇය දුම් පානයට වෛර කරයි එය පෙනහළු පිළිකා ප්රශ්නයක්,number one she hates smokersit s a lung cancer issue,anka eka eya dum panayata waira karayi eya penahalu pilika prashnayak,,,
එය පෙනහළු පිළිකා ප්රශ්නයක් ඇගේ ප්රියතම මාමා,it s a lung cancer issueher favorite uncle,eya penahalu pilika prashnayak ege priyathama mama,,,
හතළිස් එකේදී ඇගේ ප්රියතම අංකල්,her favorite uncledead at forty one,hathalis ekedee ege priyathama ankal,,,
ඔහු හොඳින් ඉන්නවා මට විශ්වාස නැහැ,he s pretty okay i wasn t sure,ohu hondin innawa mata wishwasa nehe,,,
"buttholus extremus නමුත් හේයි ඔබ දියුණු වෙමින් පවතී, මම එසේ නොවේ",buttholus extremus but hey you re making progress no i m not,namuth heyi oba diyunu wemin pawathee mama ese nowe,,,
ඔහු අදහස් කරන්නේ සිරගත නොවන චිත්රපට වර්ගයක ඔව් අපි බලමු,and he means that strictly in a non prison movie type of way yeah we ll see,ohu adahas karanne siragatha nowana chithrapata wargayaka ow api balamu,,,
කැමරන් මම ටිකක් කාර්යබහුලයි,cameron i m a little busyit s off the whole thing,kemaran mama tikak,,,
gigglepuss හෙට රෑ එතන සෙල්ලම් කරනවා මට ඒක කරන්න දෙන්න එපා මචන්,gigglepuss is playing there tomorrow night don t make me do it man,heta re ethana sellam karanawa mata eka karanna denna epa machan,,,
ඔබ කතා කරන්නේ ඇය මට නොව ජෝයිට පක්ෂපාතී වීම ගැන ය,what re you talking about she s partial to joey not me,oba katha karanne eya mata nowa joyita pakshapathee weema gena ya,,,
ඔබ ඕනෑම ගමනක් යනවා ඇය මාව සිප ගත්තා,you makin any headway she kissed me,oba onema gamanak yanawa eya mawa sipa gaththa,,,
හේයි ඔයාට කමක් නෑ කොහෙත්ම,hey do you mind not at all,heyi oyata kamak ne kohethma,,,
මොකක්ද ඔයාට කෙල්ලට ලැබෙන නරකම දේ,what s the worst you get the girl,mokakda oyata kellata lebena narakama de,,,
මගේ නංගිව තනියම තියන්න මම ඇයි එහෙම කරන්නේ,leave my sister alone and why would i do that,mage nangiwa thaniyama thiyanna mama eyi ehema karanne,,,
කෙල්ලෙක්ව එලියට ගන්න සල්ලි ඕනේ කිව්වා,you just saidyou need money to take a girl out,kellekwa eliyata ganna salli one kiwwa,,,
ෂුවර් ස්පාර්කි මම ඔයා කියපු දේ හරියටම තේරුම් ගන්නම්,sure sparky i ll get right on it you just said,shuwar mama oya kiyapu de hariyatama therum gannam,,,
මම පනහක් පිට කරන විට මම එහි ප්රතිඵල බලාපොරොත්තු වෙමි,when i shell out fifty i expect results i m on it,mama panahak pita karana wita mama ehi prathipala balaporoththu wemi,,,
දිනකට රුපියල් සියයක් එය අමතක කරන්න,a hundred bucks a date forget it,dinakata rupiyal siyayak eya amathaka karanna,,,
ඒක අමතක කරන්න එතකොට නංගිව අමතක කරන්න,forget it forget her sister then,eka amathaka karanna ethakota nangiwa amathaka karanna,,,
ගනුදෙනුවක් ගනුදෙනුවක් වීමට කාලයයි,it s about time a deal s a deal,ganudenuwak ganudenuwak weemata kalayayi,,,
"ඔබ එය කරන්නේ කෙසේද, කුමක් කරන්නද?",how d you do it do what,oba eya karanne keseda kumak karannada,,,
ඇයට මනුෂ්යයෙකු ලෙස ක්රියා කිරීමට හැකි දේ කරන්න,do what get her to act like a human,eyata manushyayeku lesa kriya kireemata heki de karanna,,,
ඔයා නැති උනාද නිකමට කතා කරන්න ආවේ,are you lost nope just came by to chat,oya nethi unada nikamata katha karanna awe,,,
නෑ chatwe don't chat කරන්න ආවේ,nope just came by to chatwe don t chat,ne karanna awe,,,
"මට ඇහෙනවා ඔයා වෙරෝනාට උදව් කරනවා, ඔව් අපි පරණ යාළුවෝ",i hear you re helpin verona uh yeah we re old friend,mata ehenawa oya udaw karanawa ow api parana yaluwo,,,
ඔව් අපි ඔයා සහ වෙරෝනා පරණ යාළුවෝ,uh yeah we re old friend you and verona,ow api oya saha werona parana yaluwo,,,
කවුද ඒ පැට්රික් වෙරෝනා අහඹු ලිස්සා යාම,who s that patrick verona random skid,kawuda e petrik werona ahambu lissa yama,,,
ඔයයි වෙරෝනායි අපි පොඩි කාලේ එකට නාපු දේ,you and verona what we took bathes together when we were kids,oyayi api podi kale ekata napu de,,,
මොකක්ද මේ උත්සාහය කැපුමක්,what s this an attempted slit,mokakda me uthsahaya kepumak,,,
ඔහු හැම විටම සෝබ්ලොක් ඉ,he always look soblock e,ohu hema witama i,,,
එය ඔහුගේ විෂම ලිංගිකත්වය කිසිදා ඔප්පු වී නැත,that s never been provenneither has his heterosexuality,eya ohuge wishama lingikathwaya kisida oppu wee netha,,,
ඔයා හිතන්නේ මේක බය නැතුව වැඩ කරයි කියලා,you think this ll work no fear,oya hithanne meka baya nethuwa weda karayi kiyala,,,
ඔහු මොනවද කියන්නේ කවුද ගණන් ගන්නේ කියලා,what d he say who cares,ohu monawada kiyanne kawuda ganan ganne kiyala,,,
මම බියන්කාට උදව්වක් කළ අතර එය ඔබට පිටුපෑවේය,i did bianca a favor and it backfired you didn t,mama biyankata udawwak kala athara eya obata,,,
මම අදහස් කළේ ඔබ ඌරෙකු මෙන් දහඩිය දමන්නේ කෙසේද යන්නයි,i mean wo man how ya doin sweating like a pig actually and yourself,mama adahas kale oba ureku men dahadiya damanne keseda yannayi,,,
සිකුරාදා එහෙනම් හරි සිකුරාදා ඔයාව ගන්න,pick you up friday thenoh right friday,sikurada ehenam hari sikurada oyawa ganna,,,
ඔබ මගේ වමනය හත් තිහ වසා දැමුවා,you covered in my vomit seven thirty,oba mage wamanaya hath thiha wasa demuwa,,,
සමාවෙන්න ඔයාට ඕන ඒක නේද,excuse me that s what you want isn t it,samawenna oyata ona eka neda,,,
වැහි කබා කවුද කියලා ඔයා දන්නවා ඇයි ඔයාට එපා කියලා,you know who the raincoats are why don t you,wehi kaba kawuda kiyala oya dannawa eyi oyata epa kiyala,,,
මට ටිකක් නිදාගන්න ඕනේ අහ්හ් ඔයා නිදාගන්න ඔයා නිදාගන්න,i just need to lie down for awhileuh uh you lie down and you ll go to sleep,mata tikak nidaganna one oya nidaganna oya nidaganna,,,
ඔයා හරි නෑ මට ටිකක් නිදාගන්න ඕනේ,you re not okay i just need to lie down for awhile,oya hari ne mata tikak nidaganna one,,,
